                 Movie              Studio           Grossed        Date
0  Bad Boys for Life\n              Sony\n    $215,644,165\n  2020-01-27
1           Dolittle\n         Universal\n     $91,084,730\n  2020-01-27
2          Tolo Tolo\n       Medusa Film\n  $45,765,963[2]\n  2020-01-27
3            Tanhaji\n          AA Films\n  $42,000,000[3]\n  2020-01-27
4         The Grudge\n              Sony\n     $40,257,664\n  2020-01-27
5         Underwater\n  20th Century Fox\n     $33,605,984\n  2020-01-27
6      The Gentlemen\n           Miramax\n     $33,530,000\n  2020-01-27
7             Darbar\n  Lyca Productions\n  $30,000,000[4]\n  2020-01-27
8        Like a Boss\n         Paramount\n     $22,152,875\n  2020-01-27
9        The Turning\n         Universal\n      $8,100,000\n  2020-01-27
